perf_var,perf_var,x1,x2,x3,x4,x5,x6,x7,x8,x9
110,110,5,11.2,20,0,0,2.35715,1.178562,73,8.46
50,50,2.8,19.2,24,0,0,0,0.707157,87.6,12.42
0,0,2.3,27.2,10,0,2.143,0,0.235719,36.5,3.06
30,30,4.1,25.6,24,3,0,0.07145,2.687157,87.6,17.64
300,300,13.8,34.4,26,9,0,5,2.027157,94.9,2.7
0,0,0.1,31.2,6,0,0,0,0.282843,21.9,1.62
10,10,3.2,28.8,8,6,5.7145,0.7143,1.602843,29.2,5.4
90,90,7.1,21.6,6,0,0,0.07145,1.037157,21.9,1.08
10,10,0.9,12.8,,0,0,0,0.707157,,1.8
200,200,2.1,221.6,,0,0,0.125,3.01125,,1.08
,,0,9.6,6,0,0,0,,21.9,0.18
0,0,0,10.4,,0,0,0,,,0.54
0,0,0,23.2,,114,0,0,,,2.16
0,0,0,15.2,4,327,0.7145,0,,14.6,2.52
0,0,0,19.2,,0,0,0,,,21.78
0,0,0,21.6,6,0,0,0,,21.9,131.22
0,0,0.5,31.2,,0,1.4285,0,,,1.44
0,0,0.2,17.6,18,0,1.4285,0,,65.7,174.78
,,0,16,,0,0,0,,,28.44
,,0.1,26.4,12,0,0.7145,0,,43.8,2.34
0,0,0,28.8,,0,0,0,,,20.52
0,0,0.5,23.2,,120,3.5715,0,,,15.48
0,0,0,15.2,,294,0,0,,,283.86
0,0,0,15.2,,600,0,0,,,1.98
0,0,0,19.2,,318,0,0,,,0.72
0,0,2.2,20,,318,15,0,,,28.08
0,0,0.1,15.2,,300,0.7145,0,,,0.36
0,0,0,27.2,,300,1.4285,0.07145,,,0.18
40,40,1.9,24.8,6,0,0.7145,0,,21.9,13.86
0,0,0.1,20.8,2,0,0.7145,0.7143,,7.3,0.9
0,0,0.2,23.2,20,0,1.4285,0,,73,10.62
0,0,0.9,24.8,6,345,6.4285,0,,21.9,14.04
0,0,0,27.2,6,357,0,0,,21.9,7.02
0,0,0.2,20.8,6,333,1.4285,0,,21.9,10.08
20,20,1.1,19.2,,0,10,0.2857,,,33.66
0,0,0.2,21.6,10,0,4.2855,0.2857,,36.5,0.72
,,0,16,2,0,0,0,,7.3,0.72
0,0,0,21.6,6,0,0,0,,21.9,23.04
,,0,22.4,,0,1.4285,0.07145,,,8.28
,,1.5,12,8,0,11.4285,0.7857,,29.2,151.38
0,0,0,18.4,8,0,5,0,,29.2,1.08
20,20,0,21.6,,0,7.857,0,,,0.54
0,0,0,20,,0,0,0,,,3.42
0,0,1.8,20,,312,12.857,0.07145,,,12.6
0,0,0.1,24,2,0,2.143,0.14285,,7.3,8.28
0,0,0.7,27.2,,0,5,0,,,0.18
0,0,0.2,15.2,,117,1.4285,0,,,18
10,10,0,20.8,12,0,5,0.07145,,43.8,1.26
0,0,0.4,40.8,,0,2.857,0,,,5.76
0,0,0,21.6,6,0,0,0,,21.9,130.32
0,0,0.2,14.4,4,117,5.7145,1.7143,,14.6,0.36
0,0,0,13.6,6,120,0,0,,21.9,1.08
,,0.6,11.2,10,6,5.7145,0.07145,,36.5,18.18
0,0,0,16.8,,0,0,0,,,13.14
0,0,0,36,8,0,0,0.57145,,29.2,62.1
0,0,0,16,,294,3.5715,0,,,1.44
0,0,0.1,17.6,,0,0.7145,0,,,483.3
0,0,0,20,,0,0,0,,,1.44
0,0,0,13.6,,114,0,2,,,0.9
0,0,0,18.4,,102,0,0.85715,,,0.72
0,0,0,12.8,,114,0,0,,,8.82
0,0,0,28,,0,0,0,,,13.32
20,20,0,40,,327,1.4285,0,,,3.06
0,0,0,20.8,,312,0,0,,,66.96
0,0,0,22.4,,303,0,0,,,2.7
0,0,0,16.8,6,105,0,0,,21.9,3.96
0,0,0,15.2,12,111,0,1.2143,,43.8,3.24
0,0,0,17.6,6,117,0,0,,21.9,0.54
0,0,0,15.2,10,114,0.7145,0.2143,,36.5,1.26
0,0,0,19.2,8,111,0,0,,29.2,7.2
10,10,0,32,10,120,0.7145,0,,36.5,0.54
0,0,0,27.2,6,108,0,0,,21.9,36
0,0,0.1,20.8,6,111,0.7145,0.14285,,21.9,3.96
10,10,0.9,27.2,12,327,15,0.5,,43.8,2.88
,,0,26.4,4,0,0,0,,14.6,1.08
0,0,0,21.6,,0,0.7145,0,,,0.18
10,10,0,17.6,,0,0.7145,0,,,3.42
0,0,0,16.8,4,0,11.4285,0.42855,,14.6,0.18
0,0,0.2,12,16,111,1.4285,0.85715,,58.4,7.02
0,0,0,23.2,,0,0,0,,,1.8
0,0,0,32,6,0,0,0,,21.9,12.24
0,0,0,24.8,16,336,0,0.2857,,58.4,57.42
0,0,1.6,15.2,,114,15,2.07145,,,2.34
,,0,19.2,,0,2.143,0,,,2.34
0,0,0.2,27.2,10,0,1.4285,2.35715,,36.5,41.04
0,0,2.1,25.6,,0,16.4285,0.64285,,,1.08
0,0,0,14.4,,0,0,0.57145,,,3.24
0,0,0,24.8,,0,0.7145,0,,,0.18
0,0,0,20,,102,0,0,,,44.82
0,0,0.1,20,,120,1.4285,0.07145,,,0.36
0,0,0,20.8,,285,0,0,,,2.34
0,0,0,20,6,117,0,0,,21.9,4.86
0,0,0.1,22.4,6,117,0.7145,0,,21.9,4.32
0,0,0,28.8,6,621,0.7145,0,,21.9,1.26
10,10,0,28.8,,291,1.4285,2.2857,,,1.08
0,0,0,24,,111,0,0,,,0.72
,,0.2,12.8,,0,0.7145,0,0.094281,,9.18
